Year,EventName,Driver,GridPosition,LapTime,LapNumber,Stint,Compound,LapPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2024,Miami Grand Prix,RUS,7,1.34.805,11,1,MEDIUM,9,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Dutch Grand Prix,SAI,10,1.16.580,12,1,MEDIUM,7,19.1,56,1019.8,FALSE,31.4,232,5.6
2024,Bahrain Grand Prix,NOR,7,1.38.134,8,1,SOFT,6,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Miami Grand Prix,TSU,10,1.34.816,11,1,MEDIUM,10,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Spanish Grand Prix,VER,2,1.21.376,12,1,SOFT,1,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Miami Grand Prix,GAS,12,1.34.743,11,1,MEDIUM,11,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Austrian Grand Prix,VER,1,1.11.028,15,1,MEDIUM,1,29.6,34,932.9,FALSE,48.6,100,1.5
2024,Bahrain Grand Prix,PIA,8,1.37.956,8,1,SOFT,7,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Canadian Grand Prix,BOT,0,1.26.970,44,2,MEDIUM,15,18.2,76,996.1,FALSE,25.9,52,0.6
2024,Dutch Grand Prix,GAS,9,1.17.375,12,1,MEDIUM,8,19.1,56,1019.8,FALSE,31.4,232,5.6
2024,Canadian Grand Prix,GAS,15,1.24.981,44,3,HARD,16,18.2,76,996.1,FALSE,25.9,52,0.6
2024,Emilia Romagna Grand Prix,VER,1,1.21.073,13,1,MEDIUM,1,25,49,1006.8,FALSE,39.8,99,2.3
2024,Miami Grand Prix,ALO,15,1.35.199,11,1,HARD,12,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Bahrain Grand Prix,ALO,6,1.38.103,8,1,SOFT,8,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Canadian Grand Prix,MAG,14,1.24.812,44,4,MEDIUM,17,18.2,76,996.1,FALSE,25.9,52,0.6
2024,Dutch Grand Prix,ALO,7,1.17.509,12,1,MEDIUM,9,19.1,58,1020,FALSE,31.3,230,6
2024,Bahrain Grand Prix,HAM,9,1.38.221,8,1,SOFT,9,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Miami Grand Prix,OCO,13,1.34.486,11,1,MEDIUM,13,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Dutch Grand Prix,STR,8,1.17.677,12,1,MEDIUM,10,19.1,58,1020,FALSE,31.3,230,6
2024,Spanish Grand Prix,RUS,4,1.21.383,12,1,SOFT,2,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Dutch Grand Prix,HAM,14,1.17.850,12,1,SOFT,11,19.1,58,1020,FALSE,31.3,230,6
2024,Spanish Grand Prix,NOR,1,1.21.354,12,1,SOFT,3,24.3,65,1001.3,FALSE,41.6,256,1.9
2024,Dutch Grand Prix,HUL,12,1.17.627,12,1,MEDIUM,12,19.1,58,1020,FALSE,31.3,230,6
2024,Bahrain Grand Prix,TSU,11,1.38.513,8,1,SOFT,10,18.2,50,1017.2,FALSE,23.5,98,0.4
2024,Miami Grand Prix,STR,11,1.40.203,11,1,MEDIUM,14,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Miami Grand Prix,ZHO,19,1.34.662,11,1,MEDIUM,15,28.7,61,1016.3,FALSE,45.1,142,3.4
2024,Dutch Grand Prix,TSU,11,1.17.627,12,1,SOFT,13,19.1,58,1020,FALSE,31.3,230,6
2024,Spanish Grand Prix,HAM,3,1.21.505,12,1,SOFT,4,24.3,65,1001.3,FALSE,41.6,256,1.9
